osm_id,name,type,other_tags
"6961076",,restriction,"""restriction""=>""no_left_turn"""
"6961077",,restriction,"""restriction""=>""no_left_turn"""
"6961130",,restriction,"""restriction""=>""no_left_turn"""
"6961131",,restriction,"""restriction""=>""no_left_turn"""
"6961633",,restriction,"""restriction""=>""no_left_turn"""
"6961634",,restriction,"""restriction""=>""no_left_turn"""
"6964468",,restriction,"""restriction""=>""no_left_turn"""
"6966683",,restriction,"""restriction""=>""no_left_turn"""
"6966697",,restriction,"""restriction""=>""no_left_turn"""
"6971498",,restriction,"""restriction""=>""no_left_turn"""
"6971500",,restriction,"""restriction""=>""no_left_turn"""
"6971501",,restriction,"""restriction""=>""no_left_turn"""
"6971502",,restriction,"""restriction""=>""no_left_turn"""
"6971556",,restriction,"""restriction""=>""no_left_turn"""
"6971557",,restriction,"""restriction""=>""no_left_turn"""
"6971558",,restriction,"""restriction""=>""no_left_turn"""
"6971559",,restriction,"""restriction""=>""no_u_turn"""
"6971560",,restriction,"""restriction""=>""no_left_turn"""
"6971561",,restriction,"""restriction""=>""no_left_turn"""
"6971562",,restriction,"""restriction""=>""no_left_turn"""
"6971563",,restriction,"""restriction""=>""no_left_turn"""
"6971715",,restriction,"""restriction""=>""no_left_turn"""
"6971716",,restriction,"""restriction""=>""no_left_turn"""
"6971717",,restriction,"""restriction""=>""no_left_turn"""
"6971718",,restriction,"""restriction""=>""no_left_turn"""
"6971719",,restriction,"""restriction""=>""no_left_turn"""
"6971720",,restriction,"""restriction""=>""no_left_turn"""
"6971721",,restriction,"""restriction""=>""no_left_turn"""
"6971722",,restriction,"""restriction""=>""no_left_turn"""
"6972939",,restriction,"""restriction""=>""no_left_turn"""
"6972940",,restriction,"""restriction""=>""no_left_turn"""
"6972955",,restriction,"""restriction""=>""no_u_turn"""
"6973115",,restriction,"""restriction""=>""no_right_turn"""
"6978707",,restriction,"""except""=>""bus"",""restriction""=>""no_left_turn"""
"6979094",,restriction,"""restriction""=>""no_left_turn"""
"6981308",,restriction,"""restriction""=>""no_right_turn"""
"6983859",,restriction,"""restriction""=>""no_right_turn"""
"6985173",Parliament House,building,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""1"",""addr:postcode""=>""178880"",""addr:street""=>""Parliament Place"",""building""=>""yes"",""height""=>""0"",""name:en""=>""Parliament House"",""name:ms""=>""Dewan Parlimen"",""name:ta""=>""நாடாளுமன்ற மாளிகை"",""name:zh""=>""国会大厦"",""office""=>""government"",""start_date""=>""1999"",""wikidata""=>""Q7138913"""
"7003390",Chestnut Avenue Waterworks,,"""fence_type""=>""metal"",""fenced""=>""yes"",""man_made""=>""water_works"""
"7047246",,restriction,"""restriction""=>""no_u_turn"""
"7057732",,restriction,"""restriction""=>""no_left_turn"""
"7057733",,restriction,"""restriction""=>""no_u_turn"""
